NUMBER,NAME,YEAR,FAMOUS ONE,FAMOUS TWO,FAMOUS THREE
1,A Monsters Call,2016,Felicity Jones,Lewis MacDougall,Sigourney Weaver
2,Gossip ,2000,Kate Hudson,Lena Headey,James Marsden
3,Dr.T & The Women,2000,Kate Hudson,Richard Gere,Helen Hunt
4,Wish I was There,2014,Kate Hudson,Zach Braff,Joey King
5,The Four Feathers ,2002,Kate Hudson,Heath Ledger,Wes Bentley
6,About Elly,2009,Golshifteh Farahani,Shahab Hosseini,Payman Maadi
7,Human Nature,2001,Rhys Ifans,Miranda Otto,Tim Robbins
8,Ricochet River,2001,Kate Hudson,Jason James Richter,Douglas Spain
9,The Divorce,2003,Kate Hudson,Naomi Watts,Stockard Channing
10,Turkey Shoot,2014,Dominic Purcell,Robert Taylor,Viva Bianca
11,Memory,2022,Liam Neeson,Monica Bellucci,Guy Pearce
12,A History Of Violence,2005,Viggo Mortensen,Maria Bello,Ed Harris
13,Shortcut To Happiness,2003,Anthony Hopkins,Alec Baldwin,Jennifer Love Hewitt
14,The Laundromat ,2019,Merly Streep,Antonio Banderas,Gary Oldman
15,The Danish Girl,2015,Eddie Reymond,Amber Heard,Alicia Vikander
16,Rebecca,2020,Armie Hammer,Kristin Scott Thomas,Armie Hammer
17,Essential Killing ,2010,Emmanuelle Seigner,Vincent Gallo,Nicolai Cleve Broch
18,No Hard Feelings,2023,Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti
19,Three Christ,2017,Peter Dinklage,Richard Gere,Walton Goggins
20,You Will Meet A Tall Dark Stranger,2010,Anthony Hopkins,Naomi Watts,Josh Brolin
21,Cyrano,2021,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr
22,Big Fish,2003,Ewan McGregor,Albert Finney,Marion Cotillard
23,Kidnapping Mr.Heineken ,2015,Anthony Hopkins,Jim Sturgess,Sam Worthington
24,Bitter Moon,1992,Emmanuelle Seigner,Hugh Grant,Kristin Scott Thomas
25,A Little Chaos,2014,Kate Winslet,Alan Rickman,Matthias Schoenaerts
26,The Human Stain,2003,Anthony Hopkins,Nicole Kidman,Ed Harris
27,Heavenly Creatures,1994,Kate Winslet,Melanie Lynskey,Sarah Peirse
28,The Pale Blue Eye,2022,Christian Bale,Harry Melling,Toby Jones
29,Zero Contact,2022,Anthony Hopkins,Chris Brochu,Aleks Paunovic
30,Minamata,2020,Johnny Depp,Akiko Iwase,Bill Nighy
